locationType,location,major,minor,occupation,ethnicity,total,median,mean
National,New Zealand,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,930,62800,75900
National,New Zealand,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,21,32500,33600
National,New Zealand,Managers,Specialist Managers,Code retired,Pacific Peoples,0,..C,..C
National,New Zealand,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,465,37500,37000
National,New Zealand,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,39,20200,30100
National,New Zealand,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,579,61500,69100
National,New Zealand,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,54,89400,100300
National,New Zealand,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,2460,35800,35600
National,New Zealand,Professionals,Health Professionals,Dietitian,Pacific Peoples,9,54900,48700
National,New Zealand,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,12,74400,91600
National,New Zealand,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,57,39000,62300
National,New Zealand,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,30,30700,32300
National,New Zealand,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,33,44400,45000
National,New Zealand,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,108,39700,40200
National,New Zealand,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,918,46900,50100
National,New Zealand,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,405,37000,36000
National,New Zealand,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,12,42900,50300
National,New Zealand,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,450,27800,30300
National,New Zealand,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,12,43800,43900
National,New Zealand,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,441,16900,19100
National,New Zealand,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,339,18100,19300
National,New Zealand,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,417,55300,56000
National,New Zealand,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,150,25900,26600
National,New Zealand,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,135,69800,73100
National,New Zealand,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,417,55000,53400
National,New Zealand,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,2160,40400,39400
National,New Zealand,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,153,59300,58900
National,New Zealand,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,849,46500,46300
National,New Zealand,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,15,25800,26800
National,New Zealand,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,0,..C,..C
National,New Zealand,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,6,11800,11300
National,New Zealand,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,7038,19400,22800
National,New Zealand,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,891,13800,16100
National,New Zealand,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,3,..C,..C
National,New Zealand,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,147,30200,28400
National,New Zealand,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,207,33400,33700
National,New Zealand,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,6660,38400,36800
National,New Zealand,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,408,27200,26700
National,New Zealand,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,1203,34900,34900
National,New Zealand,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,102,30000,31700
National,New Zealand,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,9,32900,31200
National,New Zealand,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,240,10700,13000
National,New Zealand,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,261,36600,35000
Region,Northland Region,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,27,59600,67700
Region,Northland Region,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Region,Northland Region,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Region,Northland Region,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,18,37300,46900
Region,Northland Region,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
Region,Northland Region,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,9,45200,71400
Region,Northland Region,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
Region,Northland Region,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,33,36700,39300
Region,Northland Region,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
Region,Northland Region,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
Region,Northland Region,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
Region,Northland Region,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,NA,..C,..C
Region,Northland Region,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,NA,..C,..C
Region,Northland Region,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,NA,..C,..C
Region,Northland Region,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,12,29800,41900
Region,Northland Region,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,NA,..C,..C
Region,Northland Region,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,NA,..C,..C
Region,Northland Region,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,12,23200,22300
Region,Northland Region,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,NA,..C,..C
Region,Northland Region,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,9,14300,18000
Region,Northland Region,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,9,16300,15300
Region,Northland Region,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,NA,..C,..C
Region,Northland Region,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,NA,..C,..C
Region,Northland Region,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,NA,..C,..C
Region,Northland Region,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,9,45400,43300
Region,Northland Region,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,27,33400,36200
Region,Northland Region,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,NA,..C,..C
Region,Northland Region,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,9,33000,33000
Region,Northland Region,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,NA,..C,..C
Region,Northland Region,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,NA,..C,..C
Region,Northland Region,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,NA,..C,..C
Region,Northland Region,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,153,19300,23300
Region,Northland Region,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,18,21700,20200
Region,Northland Region,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,NA,..C,..C
Region,Northland Region,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,9,15800,21500
Region,Northland Region,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,NA,..C,..C
Region,Northland Region,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,21,40600,38300
Region,Northland Region,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,NA,..C,..C
Region,Northland Region,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,21,38300,39300
Region,Northland Region,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,NA,..C,..C
Region,Northland Region,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
Region,Northland Region,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,9,24000,20800
Region,Northland Region,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,6,26200,27200
Region,Auckland Region,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,573,64000,74900
